index,id,street,code_muni,process,stnd_addr_index,dataset,original_street_name,jaro_distance,housenumber
915145,263732404,Rua dos Bandeirantes,3304557.0,2,292,street_data,dos Bandeirantes,,
61504,39624053,Rua Andrade Figueira,3304557.0,2,293,street_data,Andrade Figueira,,
286346,140909548,Estrada Cruz das Almas,3304557.0,2,294,street_data,Cruz das Almas,,
286205,140874238,Rua Tenente Xavier,3304557.0,2,295,street_data,Tenente Xavier,,
85396,46246048,Rua Petrópolis,3304557.0,2,296,street_data,Petrópolis,,
59262,38968074,Rua Campos,3304557.0,2,297,street_data,Campos,,
26762,30061010,Rua Filinto de Almeida,3304557.0,2,298,street_data,Filinto de Almeida,,
96416,48579743,Rua Torres Sobrinho,3304557.0,2,299,street_data,Torres Sobrinho,,
69969,41885469,Rua Amorim,3304557.0,2,300,street_data,Amorim,,
2381,823947878.0,Rua General Sampaio,3304557.0,1,301,points_data,General Sampaio,,71
59200,38962074,Rua Japoara,3304557.0,2,302,street_data,Japoara,,
0,273637519,Rua Mário de Carvalho (NR),3304557.0,3,303,street_data,Mário de Sousa Martins,0.9698051948051949,
473331,172593443,Rua Araújo Pena,3304557.0,2,304,street_data,Araújo Pena,,
77372,43767103,Rua Aracoia,3304557.0,2,305,street_data,Aracoia,,
125481,67555063,Rua Visconde de Figueiredo,3304557.0,2,306,street_data,Visconde de Figueiredo,,
76463,43517949,Rua Pastor Francisco Soren,3304557.0,2,307,street_data,Pastor Francisco Soren,,
239931,128522382,Estrada Pau da Fome,3304557.0,2,308,street_data,Pau da Fome,,
420218,165768049,Rua Jordão,3304557.0,2,309,street_data,Jordão,,
1365,5136164,Rua do Catete,3304557.0,2,310,street_data,do Catete,,
458198,170683219,Rua Desembargador Alfredo Russel,3304557.0,2,312,street_data,Desembargador Alfredo Russel,,
227196,126368312,Rua Antônio Alves,3304557.0,2,313,street_data,Antônio Alves,,
286369,140911465,Rua Pocinhos,3304557.0,2,314,street_data,Pocinhos,,
90575,48126818,Rua Sílvio Fontes,3304557.0,2,315,street_data,Sílvio Fontes,,
126598,69166610,Rua Coração de Maria,3304557.0,2,317,street_data,Coração de Maria,,
61770,39902690,Rua São Pedro,3304557.0,2,318,street_data,São Pedro,,
737737,228766252,Rua Nossa Senhora da Aparecida,3304557.0,2,319,street_data,Nossa Senhora da Aparecida,,
70419,42165903,Rua Uaruma,3304557.0,2,320,street_data,Uaruma,,
125718,67868566,Rua Joaquim Pizarro,3304557.0,2,321,street_data,Joaquim Pizarro,,
68916,41442862,Rua Leopoldo,3304557.0,2,322,street_data,Leopoldo,,
0,18010097,Rua Cândido Gaffrée,3304557.0,3,323,street_data,Cândido das Neves,0.9503267973856209,
82730,45559665,Rua Claudino Barata,3304557.0,2,325,street_data,Claudino Barata,,
59247,38967889,Rua Arnaldo Murineli,3304557.0,2,326,street_data,Arnaldo Murineli,,
652114,217143544,Rua Miranda,3304557.0,2,327,street_data,Miranda,,
551957,188317478,Rua General Edmundo Gastão da Cunha,3304557.0,2,328,street_data,General Edmundo Gastão da Cunha,,
81279,44636678,Rua Marechal Joaquim Inácio,3304557.0,2,329,street_data,Marechal Joaquim Inácio,,
34748,31372514,Estrada do Magarça,3304557.0,2,330,street_data,do Magarça,,
94814,48500896,Rua Ivete Vargas,3304557.0,2,331,street_data,Ivete Vargas,,
0,40332807,Avenida dos Democráticos,3304557.0,3,332,street_data,dos Democráticos,1.0,
185986,103495266,Estrada Meringuava,3304557.0,2,333,street_data,Meringuava,,
666318,220540582,Rua do Monte,3304557.0,2,334,street_data,do Monte,,
13050,27785011,Rua Visconde da Gávea,3304557.0,2,335,street_data,Visconde da Gávea,,
95872,48548966,Rua Henfil,3304557.0,2,339,street_data,Henfil,,
66791,40819868,Rua Miguel Galvão,3304557.0,2,341,street_data,Miguel Galvão,,
265538,133398766,Rua Cardo Santo,3304557.0,2,342,street_data,Cardo Santo,,
1248067,359201669,Rua Jerônimo de Lemos,3304557.0,2,343,street_data,Jerônimo de Lemos,,
68917,41442864,Rua Gastão Penalva,3304557.0,2,344,street_data,Gastão Penalva,,
1561048,462445355,Rua Princesa Isabel,3304557.0,2,345,street_data,Princesa Isabel,,
96371,48578799,Rua da Conquista,3304557.0,2,347,street_data,da Conquista,,
0,37550700,Rua Doutor João Soledade,3304557.0,3,349,street_data,Doutor José Thomas,0.9727777777777777,
83953,45819280,Rua Registro,3304557.0,2,350,street_data,Registro,,
0,40096225,Rua Bernardino de Campos,3304557.0,3,351,street_data,Bernardino Lópes,1.0,
63710,40640905,Avenida Prefeito Dulcídio Cardoso,3304557.0,2,354,street_data,Prefeito Dulcídio Cardoso,,
75073,43280557,Rua 4,3304557.0,2,355,street_data,4,,
424879,166281578,Rua Cotipora,3304557.0,2,356,street_data,Cotipora,,
419869,165755319,Rua Fritz Feigl,3304557.0,2,357,street_data,Fritz Feigl,,
915145,263732404,Rua dos Bandeirantes,3304557.0,2,358,street_data,dos Bandeirantes,,
1743072,546145215,Rua Namur,3304557.0,2,359,street_data,Namur,,
92009,48442626,Avenida Embaixador Abelardo Bueno,3304557.0,2,360,street_data,Embaixador Abelardo Bueno,,
66812,40826260,Rua Armando Mesquita,3304557.0,2,362,street_data,Armando Mesquita,,
666668,220553570,Rua Visconde de Pirajá,3304557.0,2,363,street_data,Visconde de Pirajá,,
84429,45860612,Rua da Felicidade,3304557.0,2,364,street_data,da Felicidade,,
286390,140916005,Estrada do Carapia,3304557.0,2,365,street_data,do Carapia,,
5924,14480809,Rua Francisco Otaviano,3304557.0,2,366,street_data,Francisco Otaviano,,
286198,140874224,Estrada das Agulhas Negras,3304557.0,2,367,street_data,das Agulhas Negras,,
0,172592910,Rua dos Araújos,3304557.0,3,368,street_data,dos Araujos,0.9818181818181818,
116918,54570763,Rua Oito de Dezembro,3304557.0,2,369,street_data,Oito de Dezembro,,
115844,53813561,Rua Conde de Bonfim,3304557.0,2,370,street_data,Conde de Bonfim,,
0,5381809,Rua Almirante Tamandaré,3304557.0,3,371,street_data,Almirante Frontin,1.0,
6002,14523724,Rua Sorocaba,3304557.0,2,372,street_data,Sorocaba,,
